name,       target_id,   ra,         dec,         pos_err,      lii,         bii,         bat_redshift,    redshift,    redshift_err,    redshift_type,   redshift_line,   redshift_from,   redshift_ref,       galaxy_redshift
,GRB 050712 ,   145581,05 10 48.10,+64 54 47.6,     1.0,146.29919, 14.62828,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050525A,   130088,18 32 32.60,+26 20 23.5,     1.0, 54.95297, 15.54522,      0.6060,  0.6060,            ,S            ,B            ,O            ,2005GCN..3483....1F,0.606          ,
,GRB 050528 ,   130679,23 34 06.72,+45 57 28.8,   132.0,109.15953,-14.83573,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050603 ,   131560,02 39 56.89,-25 10 54.6,     0.1,214.51847,-65.61936,      2.8210,  2.8210,            ,S            ,E            ,O            ,2005GCN..3520....1B,               ,
,GRB 050607 ,   132247,20 00 42.79,+09 08 31.5,     0.5, 49.22094,-10.90175,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050626 ,    20012,12 26 58.68,-63 08 03.1,   120.0,300.17266, -0.39357,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050701 ,   143708,15 09 01.68,-59 24 52.5,     3.5,319.64032, -1.08199,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050709 ,    20013,23 01 26.96,-38 58 39.5,     0.5,358.57295,-64.22821,            ,  0.1600,            ,S            ,E            ,O            ,2005GCN..3605....1P,0.16           ,
,GRB 080828 ,    20081,13 18 21.01,-65 56 24.4,     2.7,305.67394, -3.21174,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050713A,   145675,21 22 09.53,+77 04 29.5,     0.4,112.15209, 18.82919,            ,  3.6000,            ,PL           ,             ,O            ,2009AJ....138.1690P,               ,
,GRB 051105A,   162580,17 41 12.00,+34 56 42.0,   138.0, 59.86279, 28.76887,            ,        ,            ,             ,             ,             ,                   ,< 0.5          ,
,GRB 050713B,   145754,20 31 15.50,+60 56 38.4,        , 96.12460, 12.48785,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050714A,    20014,02 54 22.99,+69 06 45.8,     3.8,133.55793,  8.81723,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050714B,   145994,11 18 47.71,-15 32 49.0,     1.5,272.39905, 41.76710,            ,  3.5000,            ,SL           ,             ,O            ,2012ApJ...752...62J,               ,
,GRB 050715 ,   146129,10 22 37.44,-00 01 58.8,    78.0,243.95918, 45.12166,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050716 ,   146227,22 34 20.73,+38 41 03.6,        , 95.59684,-16.80363,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050717 ,   146372,14 17 24.48,-50 32 00.7,     1.5,316.61215, 10.04062,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050721 ,   146970,16 53 44.53,-28 22 51.8,     1.0,353.95116,  9.66728,            ,        ,            ,             ,             ,             ,                   ,               ,
